SL NO,Hotel_name,Location,Price,Discount,Total Rating,Rating(out of 5),Hotel ID,Booking ID,Booking Status,Payment Mode (online/offline),No of Guest,check in time,check in status,Total Price,Customer ID,Review,URL
35,Capital O Premium Hotel Victoria Heights Near Sri Someshwara Swami Temple,"Near St.Philomena's Hospital, Xavier Layout, Bangalore",1508,67%,957,5,115074,XYZ4335,confirmed,online,2,1:52pm,completed,3520,CUST1295,"Great stay, very clean and comfortable.",https://www.oyorooms.com/115074
36,Townhouse OAK SRK White Inn Near Ragigudda Sri Prasanna Anjaneyaswamy Temple,"Koramangala, Bangalore",1427,65%,1603,3,115230,XYZ4336,confirmed,online,2,3:22pm,completed,3520,CUST1118,"Average experience, nothing special.",https://www.oyorooms.com/115230
37,OYO Hotel Silver House Near Mantri Square Mall,"Arghar Dasrahalli Near Madhu Hospital Opp Maharaja Tent House Reliance Smart Building Magadi Main Road, Bangalore",844,65%,494,4,16235,XYZ4337,confirmed,online,2,4:50pm,completed,3520,CUST1475,Check-in process was slow and frustrating.,https://www.oyorooms.com/16235
38,Varcity Emerald Near Ragigudda Sri Prasanna Anjaneyaswamy Temple,"Near KEB Colony, BTM Layout 1, Bangalore",879,65%,1965,2,169729,XYZ4338,confirmed,online,2,5:00pm,completed,5400,CUST1149,Room was not clean upon arrival.,https://www.oyorooms.com/169729
39,Collection O Hotel Palm Tree,"Near Halasuru Metro Station, Ulsoor, Bangalore",2566,65%,1271,2,171791,XYZ4339,confirmed,online,2,2:40pm,completed,5400,CUST1385,"Had a wonderful stay, highly satisfied.",https://www.oyorooms.com/171791
40,Super OYO Townhouse 385 Navya International Ramamurthy Nagar Near Phoenix Marketcity,"Near Rammamurthynagar Police Station, Bangalore",1274,67%,2655,2,178019,XYZ4340,confirmed,online,2,3:00pm,completed,3000,CUST1070,Check-in process was slow and frustrating.,https://www.oyorooms.com/178019
41,Collection O Hotel Tiara Near Christ university,"Tavarekere Main Rd, Bangalore",1175,67%,644,2,178711,XYZ4341,confirmed,online,2,6:00pm,completed,2000,CUST1234,"Poor service, not worth the price.",https://www.oyorooms.com/178711
42,Townhouse OAK SRK White Inn Near Ragigudda Sri Prasanna Anjaneyaswamy Temple,"Koramangala, Bangalore",1427,65%,1603,4,185468,XYZ4342,confirmed,online,2,4:00pm,completed,2000,CUST1446,"Average experience, nothing special.",https://www.oyorooms.com/185468
43,OYO Sai Ram Residency,"Cubbonpet Main Road, Bangalore",1092,67%,207,5,187771,XYZ4343,confirmed,online,2,2:00pm,completed,3000,CUST1145,"Great stay, very clean and comfortable.",https://www.oyorooms.com/187771
44,Super OYO Nar Comforts Near Majestic & near KSR Railway station,"NAR Comforts,13, G.K temple street, opp. Vijayalaxmi theater, Chickpet, Bangalore",1338,64%,1682,3,192541,XYZ4344,confirmed,online,2,3:00pm,completed,3000,CUST1212,Very affordable with good facilities.,https://www.oyorooms.com/192541
45,Flagship Hotel Royal Comfort Near Cubbon Park,"Gandhinagar, Bangalore",1357,65%,60,2,198743,XYZ4345,confirmed,online,2,12:00pm,completed,5000,CUST1014,"Average experience, nothing special.",https://www.oyorooms.com/198743
46,Super OYO Capital O Choice Regal Suites Near Ragigudda Sri Prasanna Anjanayeswamy Temple,"Centrally Located, Near Sagar Hospital, Hombegowda Nagar, Bangalore",1753,65%,1337,4,200734,XYZ4346,confirmed,online,2,3:00pm,completed,5000,CUST1097,Excellent location and friendly staff.,https://www.oyorooms.com/200734
47,Capital O Champion Lotus Near Mantri Square Mall,"Near IIFT, Vijayanagar, Bangalore",1339,65%,1342,1,201927,XYZ4347,confirmed,online,2,12:00pm,completed,4000,CUST1222,"Average experience, nothing special.",https://www.oyorooms.com/201927
48,OYO Hotel Blue Inn,"Near Bilal masjid, Gurappanapalya, Bangalore",1351,67%,1393,2,204577,XYZ4348,confirmed,online,2,12:00pm,completed,4000,CUST1190,"Average experience, nothing special.",https://www.oyorooms.com/204577
49,OYO Hotel Silver House Near Mantri Square Mall,"Arghar Dasrahalli Near Madhu Hospital Opp Maharaja Tent House Reliance Smart Building Magadi Main Road, Bangalore",844,65%,494,2,209987,XYZ4349,confirmed,online,2,4:30pm,completed,4000,CUST1106,"Poor service, not worth the price.",https://www.oyorooms.com/209987
50,Super OYO Flagship Vsv Avenue Hennur Near Sri Amruth Chithra Mandira," landmark Krishna Medical Store) Oposite Krishna Leela Grand Hotel, Bangalore",1264,65%,299,3,211408,XYZ4350,confirmed,online,2,3:00pm,completed,3000,CUST1352,"Great stay, very clean and comfortable.",https://www.oyorooms.com/211408
51,Super OYO  Design Oyo Townhouse OAK Clove Boutique Hotel Rajaji Nagar,"4th Block, Rajaji Nagar, Bangalore",3053,65%,1360,0,211539,XYZ4351,confirmed,online,2,3:00pm,completed,3000,CUST1194,Would definitely recommend to others.,https://www.oyorooms.com/211539
52,Collection O Hotel Palm Tree,"Near Halasuru Metro Station, Ulsoor, Bangalore",2566,65%,1271,0,211688,XYZ4352,confirmed,online,2,2:00pm,completed,3000,CUST1010,"Great stay, very clean and comfortable.",https://www.oyorooms.com/211688
53,OYO Townhouse 76427 Hotel Skyline Near Banashankari Metro Station,"B S K 2nd Stage, Bangalore",1406,65%,352,0,211857,XYZ4353,confirmed,online,2,12:00pm,completed,2000,CUST1401,Fantastic ambiance and atmosphere.,https://www.oyorooms.com/211857
54,OYO Flagship HOTEL SKYSPACE Near Hare Krishna Hill,"Yeswantpur Near Railway Station, Bangalore",1140,65%,358,3,212905,XYZ4354,confirmed,online,2,6:30pm,completed,2000,CUST1046,"Poor service, not worth the price.",https://www.oyorooms.com/212905
55,SPOT ON 810480 Canton Lodging And Boarding,"Karnataka, Bangalore",872,67%,17,5,213051,XYZ4355,confirmed,online,2,3:00pm,completed,10000,CUST1293,Room was not clean upon arrival.,https://www.oyorooms.com/213051
56,Collection O Onyx International Near Ragigudda Sri Prasanna Anjaneyaswamy Temple,"Karnatakanull, Bangalore",1334,67%,332,4,2572,XYZ4356,confirmed,online,2,1:00pm,completed,10000,CUST1318,"Average experience, nothing special.",https://www.oyorooms.com/2572
57,OYO Mn Residency Near Ragigudda Sri Prasanna Anjaneyaswamy Temple,"Madiwala,  South Zone, Bengaluru, Bangalore South, Bangalore Urban, Karnataka, - 560034, India Bangalore.",1257,67%,1061,2,2896,XYZ4357,confirmed,online,2,1:00pm,completed,2000,CUST1079,Room was not clean upon arrival.,https://www.oyorooms.com/2896
58,OYO Home Leva Homes Near Baiyappanahalli Metro Station,"Mahadevapura Zone, Bangalore",1236,65%,1013,3,2966,XYZ4358,confirmed,online,2,12:00pm,completed,5000,CUST1173,Would definitely recommend to others.,https://www.oyorooms.com/2966
59,Super OYO Capital O Chetana Inn,"Centrally Located, Near Shanti Niketan School, Kodigehalli, Bangalore",1352,64%,1549,5,3139,XYZ4359,confirmed,online,2,12:00pm,completed,2000,CUST1469,"Average experience, nothing special.",https://www.oyorooms.com/3139
60,Super OYO Capital O Choice Regal Suites Near Ragigudda Sri Prasanna Anjanayeswamy Temple,"Centrally Located, Near Sagar Hospital, Hombegowda Nagar, Bangalore",1753,65%,1337,2,3414,XYZ4360,confirmed,online,2,3:20pm,completed,4200,CUST1493,Very affordable with good facilities.,https://www.oyorooms.com/3414
61,Super OYO Capital O Blooms Stay Inn Near Snow City,"Bangalore Urban, Bangalore",2063,65%,663,4,3588,XYZ4361,confirmed,online,2,8:00pm,completed,4200,CUST1083,"Had a wonderful stay, highly satisfied.",https://www.oyorooms.com/3588
62,Super OYO Townhouse 273 Hosur Main Road Bommanahalli Near Gopalan Innovation Mall,"Near krishna Theature Bommanahalli, Hosur main road, Bangalore",2302,65%,1983,3,36136,XYZ4362,confirmed,online,2,2:25pm,completed,5250,CUST1467,"Poor service, not worth the price.",https://www.oyorooms.com/36136
63,OYO Nra Residency Near Rajarajeshwari Nagar Metro Station,"Rajarajeshwari Nagar, Bangalore",759,68%,416,3,43921,XYZ4363,confirmed,online,2,12:00pm,completed,5300,CUST1051,"Had a wonderful stay, highly satisfied.",https://www.oyorooms.com/43921
64,Super OYO Flagship Vsv Avenue Hennur Near Sri Amruth Chithra Mandira," landmark Krishna Medical Store) Oposite Krishna Leela Grand Hotel, Bangalore",1264,65%,299,1,50140,XYZ4364,confirmed,online,2,3:40pm,completed,2400,CUST1294,"Great stay, very clean and comfortable.",https://www.oyorooms.com/50140
65,Super OYO Capital O SS Suites Near Ragigudda Sri Prasanna Anjaneyaswamy Temple,Above Vishal Mega mart,1513,67%,1488,2,52428,XYZ4365,confirmed,online,2,1:00pm,completed,5200,CUST1023,Check-in process was slow and frustrating.,https://www.oyorooms.com/52428
66,Collection O Nandi Comforts,"Yeshwantpur, Bangalore",872,70%,52,0,54479,XYZ4366,confirmed,online,2,5:00pm,completed,3600,CUST1271,Room was not clean upon arrival.,https://www.oyorooms.com/54479
67,Flagship Hotel Royal Comfort Near Cubbon Park,"Gandhinagar, Bangalore",1357,65%,60,3,60262,XYZ4367,confirmed,online,2,12:00pm,completed,3400,CUST1445,Would definitely recommend to others.,https://www.oyorooms.com/60262
68,Capital O Hotel Shanti Nivas Near Hare Krishna Hill,"Near Yeshwanthpur , Sri Raghavendra Layout, Bangalore",1159,65%,807,1,62269,XYZ4368,confirmed,online,2,7:00pm,completed,2500,CUST1253,Would definitely recommend to others.,https://www.oyorooms.com/62269
69,Capital O Prime Residency,"Near Perseverance HBR, Saint Thomas Town, Bangalore",1339,65%,795,2,682,XYZ4369,confirmed,online,2,12:56pm,completed,3060,CUST1082,Would definitely recommend to others.,https://www.oyorooms.com/682
70,Capital O Safari Rooms Near Snow City,"India Bangalore Karnatakaindia, Bangalore",1316,68%,160,3,79479,XYZ4370,confirmed,online,2,1:00pm,completed,3300,CUST1093,"Poor service, not worth the price.",https://www.oyorooms.com/79479
71,Super OYO Capital O Chetana Clove,"Near Shanti Niketan School, Maruthinagar, Bangalore",1397,65%,1653,0,80001,XYZ4371,confirmed,online,2,12:00pm,completed,2400,CUST1284,Would definitely recommend to others.,https://www.oyorooms.com/80001
72,Super OYO Collection O 85404 Valleyton Park,"Near Manyata Tech Park,HBR Layout,Outer Ring Road,Bangalore",1261,68%,593,0,81347,XYZ4372,confirmed,online,2,3:50pm,completed,2500,CUST1442,Room was not clean upon arrival.,https://www.oyorooms.com/81347
73,OYO Townhouse 76427 Hotel Skyline Near Banashankari Metro Station,"B S K 2nd Stage, Bangalore",1406,65%,352,0,968,XYZ4373,confirmed,online,2,12:00pm,completed,3200,CUST1056,"Poor service, not worth the price.",https://www.oyorooms.com/968
74,OYO Flagship HOTEL SKYSPACE Near Hare Krishna Hill,"Yeswantpur Near Railway Station, Bangalore",1140,65%,358,4,976,XYZ4374,confirmed,offline,2,1:00pm,completed,3600,CUST1208,"Poor service, not worth the price.",https://www.oyorooms.com/976
75,SPOT ON Janapriya Lodge Near Hare Krishna Hill,"Bangalore Urban, Bangalore",781,67%,372,5,98617,XYZ4375,confirmed,offline,2,12:00pm,completed,2400,CUST1072,"Poor service, not worth the price.",https://www.oyorooms.com/98617
76,Santa Maria Near Indiranagar Metro Station,"Jeevan Bhima Nagar, Bangalore",1384,65%,707,5,210764,XYZ4376,confirmed,offline,2,7:00pm,completed,1500,CUST1302,Room was not clean upon arrival.,https://www.oyorooms.com/210764
77,Super OYO Townhouse 149 Siri Residency,"Bhuvaneswari Nagar, Bangalore",1716,64%,887,5,110941,XYZ4377,confirmed,offline,2,12:56pm,completed,2360,CUST1384,Fantastic ambiance and atmosphere.,https://www.oyorooms.com/110941
78,Super OYO Capital O High end Withinn Hotel Near Hare Krishna Hill,"Near NIAS, Mathikere Extension, Bangalore",1873,65%,993,5,114083,XYZ4378,confirmed,offline,2,3:51pm,completed,2510,CUST1068,Would definitely recommend to others.,https://www.oyorooms.com/114083
79,Collection O Royal Elevar,"Dasarahalli, Bangalore",1018,65%,630,4,212993,XYZ4379,confirmed,offline,2,5:00pm,completed,4200,CUST1054,"Poor service, not worth the price.",https://www.oyorooms.com/212993
80,OYO Mn Residency Near Ragigudda Sri Prasanna Anjaneyaswamy Temple,"Madiwala,  South Zone, Bengaluru, Bangalore South, Bangalore Urban, Karnataka, - 560034, India Bangalore.",1257,67%,1061,4,37911,XYZ4380,confirmed,offline,2,1:00pm,completed,3200,CUST1135,Excellent location and friendly staff.,https://www.oyorooms.com/37911
81,OYO The Royal International Hotel,"Near Robert Bosch Company, Mangammanapalya, Bangalore",1140,65%,822,4,3863,XYZ4381,confirmed,offline,2,12:00pm,completed,5200,CUST1497,Excellent location and friendly staff.,https://www.oyorooms.com/3863
82,SPOT ON 76191 Sahara Lodge,"Yeshwanthapura, Bangalore",670,68%,353,4,49840,XYZ4382,confirmed,offline,2,4:00pm,completed,4200,CUST1370,"Had a wonderful stay, highly satisfied.",https://www.oyorooms.com/49840
83,OYO Hotel Golden Arch Near Palace Ground,"Near Vijayanagar police station, MC Layout, Bangalore",1077,67%,202,4,73885,XYZ4383,confirmed,offline,2,1:40pm,completed,1400,CUST1124,"Great stay, very clean and comfortable.",https://www.oyorooms.com/73885
84,Collection O Onyx International Near Ragigudda Sri Prasanna Anjaneyaswamy Temple,"Karnatakanull, Bangalore",1334,67%,332,3,74447,XYZ4384,confirmed,offline,2,1:50pm,completed,3500,CUST1182,"Average experience, nothing special.",https://www.oyorooms.com/74447
85,Collection O Hotel Supreme Suites Near Sri Amruth Chithra Mandira,"14/15 14 And 15 L V Complex Munireddy Layout Horamavu Banaswadi, Bangalore",1023,67%,126,3,7874,XYZ4385,confirmed,offline,2,3:20pm,completed,5200,CUST1479,"Had a wonderful stay, highly satisfied.",https://www.oyorooms.com/7874
86,Collection O Hotel Status Executive Room's,"Near Old Airport Road, Bangalore",1344,69%,39,5,89630,XYZ4386,confirmed,offline,2,5:00pm,completed,6300,CUST1262,Room was not clean upon arrival.,https://www.oyorooms.com/89630
87,Super OYO Collection O Ctc Gardenia Residency Near Lalbagh Botanical Garden,"Opp Urvashi Theatre, Bangalore",1921,65%,318,5,103871,XYZ4387,confirmed,offline,2,3:00pm,completed,6300,CUST1180,"Poor service, not worth the price.",https://www.oyorooms.com/103871
88,SPOT ON Srinivasa Boarding And Lodging Near Vijayanagar Metro Station,"Near N R Colony, Sajjepalya, Bangalore",670,67%,432,4,115355,XYZ4388,confirmed,offline,2,6:30pm,completed,6300,CUST1432,"Great stay, very clean and comfortable.",https://www.oyorooms.com/115355
89,OYO Flagship 37297 N R Deluxe,"Near Prashant Hospital, Bangalore",649,85%,59,3,193588,XYZ4389,confirmed,offline,2,12:00pm,completed,6300,CUST1432,Fantastic ambiance and atmosphere.,https://www.oyorooms.com/193588
90,Capital O N R Comforts Near Nexus Mall Koramangala,"Koramangala, Bangalore",1095,64%,178,2,208527,XYZ4390,confirmed,offline,2,4:50pm,completed,5200,CUST1493,Check-in process was slow and frustrating.,https://www.oyorooms.com/208527
91,Capital O Royal Manyata,"Gate Number 4, Bangalore",1194,65%,854,4,210482,XYZ4391,confirmed,offline,2,12:00pm,completed,5200,CUST1328,"Great stay, very clean and comfortable.",https://www.oyorooms.com/210482
92,Super OYO Townhouse 490 Indiranagar Extn,"Bangalore, Bangalore",1473,67%,923,3,212112,XYZ4392,confirmed,offline,2,3:20pm,completed,4200,CUST1262,Room was not clean upon arrival.,https://www.oyorooms.com/212112
93,Collection O Sln Suites,"Behind Baptist Hospital, Hebbal",1670,65%,244,5,212604,XYZ4393,confirmed,offline,2,2:00pm,completed,1400,CUST1430,Room was not clean upon arrival.,https://www.oyorooms.com/212604
94,Capital O Elite Stay Jp Nagar Near Ragigudda Sri Prasanna Anjaneyaswamy Temple,"6th Phase, Bangalore",1452,65%,926,4,212619,XYZ4394,confirmed,offline,2,12:00pm,completed,1600,CUST1299,"Poor service, not worth the price.",https://www.oyorooms.com/212619
95,Flagship Sai Vishram,"26/1 sheshadri Road  Anandrao Circle Gandhi Nagar, Bangalore",1061,65%,38,4,162889,XYZ4395,confirmed,offline,2,4:00pm,completed,1000,CUST1470,"Had a wonderful stay, highly satisfied.",https://www.oyorooms.com/162889
96,Super OYO Flagship Blooms Residency Near Baiyappanahalli Metro Station,"Bangalore East, Bangalore",1800,65%,750,5,176608,XYZ4396,confirmed,offline,2,12:00pm,completed,2400,CUST1037,"Had a wonderful stay, highly satisfied.",https://www.oyorooms.com/176608
97,OYO Royal Grand Residency Near Lalbagh Botanical Garden,"Bangalore Karnataka, Bangalore",1164,64%,586,3,193016,XYZ4397,confirmed,offline,2,12:00pm,completed,3500,CUST1152,Very affordable with good facilities.,https://www.oyorooms.com/193016
98,OYO Flagship Varcity Plaza Near Ragigudda Sri Prasanna Anjaneyaswamy Temple,"Near Cross Road, Maruti Nagar, Bangalore",1272,75%,588,4,202617,XYZ4398,confirmed,offline,2,3:50pm,completed,2500,CUST1397,Check-in process was slow and frustrating.,https://www.oyorooms.com/202617
99,OYO 18544 Amm Residency,"Mavalli, Bengaluru",1191,67%,2,5,203990,XYZ4399,confirmed,offline,2,4:50pm,completed,3500,CUST1410,"Poor service, not worth the price.",https://www.oyorooms.com/203990
100,Townhouse 038 Global Wings Hotels Near Sri Amruth Chithra Mandira,"Kammanahalli, Bangalore",1517,65%,675,4,210350,XYZ4400,confirmed,offline,2,6:00pm,completed,2400,CUST1151,Excellent location and friendly staff.,https://www.oyorooms.com/210350
101,Flagship Gn Nelli Rooms Near CMR University,"Bengalore-43, Bangalore",1050,64%,240,3,37701,XYZ4401,confirmed,offline,2,3:00pm,completed,6500,CUST1295,Room was not clean upon arrival.,https://www.oyorooms.com/37701
102,Townhouse OAK Hotel Prime,"Near Karnataka Bank, Babusapalya Main Road, Bangalore",2061,65%,917,4,43439,XYZ4402,confirmed,offline,2,5:30pm,completed,3400,CUST1485,Would definitely recommend to others.,https://www.oyorooms.com/43439
103,OYO Hotel Blue Inn,"Near Bilal masjid, Gurappanapalya, Bangalore",1351,67%,1393,5,109402,XYZ4403,confirmed,offline,2,1:00pm,completed,2000,CUST1386,"Had a wonderful stay, highly satisfied.",https://www.oyorooms.com/109402
104,OYO Hotel Fiesta Grand,"Near Mariyappa Road, Jayanagar Ward, Bangalore",1262,64%,225,4,112765,XYZ4404,confirmed,offline,2,1:00pm,completed,3000,CUST1180,"Poor service, not worth the price.",https://www.oyorooms.com/112765
105,Collection O Tierra Woods,"Bangalore , Bangalore",1628,65%,102,5,155767,XYZ4405,confirmed,offline,2,12:00pm,completed,4000,CUST1442,"Average experience, nothing special.",https://www.oyorooms.com/155767
